Chromosome,Arm,Band,Abnormality,CaseCount,Type,Morph_code
11,p,15,add,9,unbalanced,1112
11,p,15,add,2,unbalanced,1113
11,p,15,add,9,unbalanced,1202
11,p,15,add,37,unbalanced,1101
11,p,15,add,9,unbalanced,1501
11,p,15,add,2,unbalanced,1521
11,p,15,add,19,unbalanced,1602
11,p,15,add,24,unbalanced,1702
11,p,15,add,2,unbalanced,1708
11,p,15,add,2,unbalanced,1801
11,p,15,add,12,unbalanced,1802
11,p,15,add,2,unbalanced,1804
11,p,15,add,4,unbalanced,1808
11,p,15,add,6,unbalanced,1509
11,p,15,tas,2,balanced,8734
11,p,15,tas,2,balanced,8804
11,p,15,tas,4,balanced,8734
11,p,15,t,2,balanced,1101
11,p,15,t,4,balanced,1101
11,p,15,t,2,balanced,1103
11,p,15,t,5,balanced,1104
11,p,15,t,5,balanced,1106
11,p,15,t,2,balanced,1107
11,p,15,t,8,balanced,1602
11,p,15,t,2,balanced,1101
11,p,15,t,4,balanced,1113
11,p,15,t,6,balanced,1101
11,p,15,t,5,balanced,1104
11,p,15,t,2,balanced,1108
11,p,15,t,2,balanced,1110
11,p,15,t,2,balanced,1101
11,p,15,t,5,balanced,1203
11,p,15,t,2,balanced,1602
11,p,15,tas,2,balanced,8804
11,p,15,tas,2,balanced,8734
11,p,15,tas,2,balanced,8734
11,p,15,t,2,balanced,1104
11,q,25,der,2,unbalanced,1702
11,p,15,inv,7,balanced,1101
11,p,11,del,3,unbalanced,1702
11,q,14,add,2,unbalanced,1501
11,q,14,add,2,unbalanced,1521
11,q,14,add,2,unbalanced,1820
11,q,14,add,3,unbalanced,3111
11,q,14,add,3,unbalanced,3111
11,p,14,del,4,unbalanced,1101
