Chromosome,Arm,Band,Abnormality,CaseCount,Type,Morph_code
10,q,26,del,3,unbalanced,1602
10,q,26,del,2,unbalanced,1702
10,q,26,del,2,unbalanced,1810
10,q,26,del,2,unbalanced,1101
10,q,26,del,2,unbalanced,1104
10,q,26,del,2,unbalanced,1203
10,q,26,del,2,unbalanced,1501
10,q,26,del,3,unbalanced,1602
10,q,26,del,2,unbalanced,1802
10,q,26,del,4,unbalanced,1810
10,q,26,der,3,unbalanced,1113
10,p,15,add,2,unbalanced,8310
10,p,15,del,2,unbalanced,1906
10,p,15,del,2,unbalanced,1101
10,p,13,add,2,unbalanced,3111
10,p,13,add,2,unbalanced,3111
10,p,13,add,2,unbalanced,3111
10,p,13,add,3,unbalanced,1820
10,p,13,add,2,unbalanced,1810
10,p,13,add,3,unbalanced,1808
10,p,13,add,3,unbalanced,1702
10,p,13,add,3,unbalanced,1602
10,p,13,add,3,unbalanced,1501
10,p,13,add,4,unbalanced,1202
10,p,13,add,2,unbalanced,1108
10,p,13,add,2,unbalanced,1107
10,p,13,add,2,unbalanced,1103
10,p,13,add,9,unbalanced,1101
10,p,13,t,4,balanced,1108
10,p,13,t,2,balanced,1107
10,p,13,t,6,balanced,1101
10,q,21,inv,6,balanced,3111
10,q,21,t,2,balanced,1406
10,q,21,t,2,balanced,1101
10,q,21,t,2,balanced,3111
10,q,21,add,2,unbalanced,1602
10,q,21,del,3,unbalanced,1602
10,q,21,der,2,unbalanced,1113
10,q,21,der,2,unbalanced,1113
10,p,13,add,2,unbalanced,3903
10,p,13,add,3,unbalanced,5104
10,p,13,del,2,unbalanced,1113
10,p,13,del,3,unbalanced,1602
10,p,15,der,3,unbalanced,1113
10,p,15,der,2,unbalanced,1702
10,p,15,der,2,unbalanced,1602
10,p,15,der,2,unbalanced,1602
10,p,15,dup,4,unbalanced,1602
10,p,13,der,3,unbalanced,1101
10,p,13,der,2,unbalanced,1101
10,p,13,der,5,unbalanced,1101
10,p,13,del,2,unbalanced,1602
10,p,13,del,4,unbalanced,1926
10,p,13,del,2,unbalanced,1101
10,p,13,del,2,unbalanced,8710
10,q,26,add,15,unbalanced,1702
10,p,13,del,2,unbalanced,8541
10,p,13,del,3,unbalanced,3121
10,p,13,del,3,unbalanced,3111
10,p,13,del,2,unbalanced,3111
10,p,13,del,2,unbalanced,3111
10,p,13,del,6,unbalanced,1926
10,p,13,del,3,unbalanced,1908
10,p,13,del,3,unbalanced,1906
10,p,13,del,2,unbalanced,1902
10,p,13,del,2,unbalanced,1901
10,p,13,del,2,unbalanced,1820
10,p,13,del,4,unbalanced,1801
10,p,13,del,5,unbalanced,1702
10,p,13,del,3,unbalanced,3905
10,q,26,add,2,unbalanced,1602
10,q,26,add,2,unbalanced,1804
10,q,26,add,3,unbalanced,1202
10,q,22,del,3,unbalanced,1822
10,q,22,del,11,unbalanced,1820
10,q,22,add,2,unbalanced,1113
10,q,22,add,3,unbalanced,1501
10,q,22,add,14,unbalanced,1602
10,q,22,add,4,unbalanced,1702
10,q,22,add,2,unbalanced,1801
10,q,22,add,2,unbalanced,1802
10,q,22,add,10,unbalanced,1810
10,q,22,add,10,unbalanced,1820
10,q,22,add,2,unbalanced,1906
10,q,22,add,3,unbalanced,3111
10,q,22,del,2,unbalanced,3131
10,q,22,add,2,unbalanced,8304
10,q,22,add,2,unbalanced,8710
10,q,22,del,3,unbalanced,1101
10,q,22,del,17,unbalanced,1602
10,q,22,del,2,unbalanced,1801
10,q,22,del,3,unbalanced,1802
10,q,22,del,9,unbalanced,1810
10,q,22,del,7,unbalanced,1820
